,Name,Club,Overall,Value,foot,SM,W/F,D/W,A/W,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,PAC,SHO,PAS,DRI,DEF,PHY
0,Lionel Messi,FC Barcelona,94,95500000.0,1,4,4,2,1,88,95,70,92,88,97,93,94,92,96,91,84,93,95,95,86,68,75,68,94,48,40,94,94,75,96,33,37,26,6,11,15,14,8,87,92,92,96,39,66
1,C. Ronaldo dos Santos Aveiro,Juventus,93,58500000.0,0,5,4,2,0,84,94,89,83,87,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24,7,11,15,14,11,90,93,82,89,35,78
2,Neymar da Silva Santos Jr.,Paris Saint-Germain,92,105500000.0,0,5,5,1,0,87,87,62,87,87,96,88,87,81,95,94,89,96,92,84,80,61,81,49,84,51,36,87,90,90,94,27,26,29,9,9,15,15,11,91,85,87,95,32,58
3,Jan Oblak,Atlético Madrid,91,77500000.0,0,1,3,1,1,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,89,87,92,78,89,52,90
4,Kevin De Bruyne,Manchester City,91,90000000.0,0,4,5,0,0,93,82,55,92,82,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94,79,91,68,58,51,15,13,5,10,13,76,86,92,86,61,78
5,Eden Hazard,Real Madrid,91,90000000.0,0,4,4,1,0,81,84,61,89,83,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89,88,91,34,27,22,11,12,6,8,8,91,83,86,94,35,66
6,Mohamed Salah,Liverpool,90,80500000.0,1,4,3,1,0,79,90,59,84,79,89,83,69,75,89,94,92,91,92,88,80,69,85,73,84,63,55,92,84,77,91,38,43,41,14,14,9,11,14,93,86,81,89,45,74
7,Virgil van Dijk,Liverpool,90,78000000.0,0,2,3,1,1,53,52,86,78,45,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65,62,89,91,92,85,13,10,13,11,11,77,60,70,71,90,86
8,Marc-André ter Stegen,FC Barcelona,90,67500000.0,0,1,4,1,1,18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90,88,85,88,90,45,88
9,Luka Modrić,Real Madrid,90,45000000.0,0,4,4,0,0,86,72,55,92,76,87,85,78,88,92,77,71,92,89,93,79,68,85,58,82,62,82,79,91,82,92,68,76,71,13,9,7,14,9,74,76,89,89,72,66
10,Kylian Mbappé,Paris Saint-Germain,89,93500000.0,0,5,4,2,0,78,89,77,82,79,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80,70,84,34,34,32,13,5,7,11,6,96,84,78,90,39,75
11,N'Golo Kanté,Chelsea,89,66000000.0,0,2,3,0,1,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,15,12,10,7,10,78,65,77,81,87,83
12,Alisson Ramses Becker,Liverpool,89,58000000.0,0,1,3,1,1,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,85,84,85,90,89,85,84,85,89,51,90
13,Harry Kane,Tottenham Hotspur,89,83000000.0,0,3,4,0,0,75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38,8,10,11,14,11,70,91,79,81,47,83
